,0
0,0.0
1,0.3081479030440719
2,-0.009250759772150952
3,0.005560718684697097
4,0.02374540790080215
5,0.012556218775412686
6,0.0
7,0.0
8,0.022908490796869962
9,-0.019349768179875992
10,-0.0071301549845912415
11,-0.001790510773788112
12,-0.0035906681307287247
13,0.0
14,0.0
15,0.0
16,0.047418892099910126
17,-0.06373838392851128
18,-0.005499555566038428
19,-0.01481508578514057
20,0.0
21,0.0
22,0.031223840451532592
23,-0.012739025777429802
24,0.010929070532190277
25,0.01617285924560119
26,-0.0053619431413853835
27,0.0
28,0.0
29,0.050665857446785534
30,-0.013722342255101383
31,-0.026248226074936376
32,0.012334958157951492
33,-0.0017528488274143328
34,0.0
35,0.0
36,0.010471299867295336
37,-0.015748356968139143
38,0.015748356968139143
39,0.0051948168771038805
40,-0.013913267916984884
41,0.0
42,0.0
43,0.013913267916984884
44,0.0103093696588612
45,-0.031252543504104224
46,-0.0017652255245692583
47,0.0070422826254130655
48,0.0
49,0.0
50,0.0
51,0.019114396023315106
52,-0.006908490343811469
53,-0.0017346058122083008
54,-0.005221943981151611
55,0.0
56,0.0
57,0.01386504013717138
58,0.006861090379945312
59,-0.012037978559478857
60,-0.003466207976486224
61,-0.006968669316093523
62,0.0
63,0.0
64,0.001746725334941912
65,-0.008764297993588466
66,0.015720847786948378
67,0.0034602110648955797
68,-0.006932436775644701
69,0.0
70,0.0
71,0.01038071605456059
72,-0.001722653311446054
73,0.017094433359300165
74,-0.02228027039166558
75,-0.0017346058122083008
76,0.0
77,0.0
78,0.010362787035546495
79,-0.0017196908795267252
80,0.03550668845690996
81,0.0033167526259938462
82,-0.009983443984183049
83,0.0
84,0.0
85,0.014938037108866542
86,-0.008271345750677339
87,-0.006666691358189203
88,0.02150620522096358
89,0.00977206473379244
90,0.0
91,0.0
92,-0.0032467560988698185
93,-0.028031513855886203
94,0.016584128015535216
95,-0.004946423935325628
96,-0.01666705248521172
97,0.0
98,0.0
99,0.01666705248521172
100,-0.013311344638239353
101,-0.006722714394876705
102,0.006722714394876705
103,0.01825776857356498
104,0.0
105,0.0
106,0.01631357549152379
107,-0.04129405845996548
108,0.0
109,0.02003405903311606
110,-0.01834913866819643
111,0.0
112,0.0
113,-0.006756782462879807
114,0.015139061215684313
115,0.0016680571006968403
116,0.0
117,0.009950330853168099
118,0.0
119,0.0
120,0.017989037836073418
121,-0.019640565874546434
122,0.0
123,0.0
124,-0.01834913866819643
125,0.0
126,0.0
127,0.011715615172562588
128,-0.015088299651201842
129,0.005054770661623964
130,0.01666705248521172
131,0.009868501140753994
132,0.0
133,0.0
134,0.03695199526563053
135,-0.033684018501014545
136,0.019386713800190192
137,0.03768106696768836
138,0.0030769255044793553
139,0.0
140,0.0
141,0.001534919718083616
142,-0.007698267425752414
143,0.0015444018513741664
144,0.012270092591814219
145,-0.024692612590371255
146,0.0
147,0.0
148,0.0
149,0.04730096061796418
150,0.017725722599108318
151,-0.0267078189149359
152,-0.03208831455150052
153,0.0
154,0.0
155,0.010810916104215584
156,-0.006163347707668798
157,0.004626068388782212
158,0.006134988567515931
159,-0.010761056956298143
160,0.0
161,0.0
162,0.010761056956298143
163,-0.012307847674596806
164,0.012307847674596806
165,0.024170360927813217
166,-0.03647820860241002
167,0.0
168,0.0
169,0.007710138425967461
170,-0.0030769255044793553
171,-0.003086422203189443
172,0.007698267425752414
173,-0.001534919718083616
174,0.0
175,0.0
176,0.018265347977293178
177,-0.010614201241773591
178,-0.009188426054406174
179,0.03922071315328135
180,0.014684551682921265
181,0.0
182,0.0
183,0.024479264084779517
184,0.0
185,-0.07531232988401193
186,-0.001534919718083616
187,-0.013921338518608106
188,0.0
189,0.0
190,0.013921338518608106
191,-0.018605187831034486
192,-0.001566171032745034
193,0.018634079544892934
194,0.0015372793188865863
195,0.0
196,0.0
197,0.010695289116747997
198,-0.016858636824416795
199,-0.003095977705128039
200,0.010794245130880453
201,-0.001534919718083616
202,0.0
203,0.0
204,0.001534919718083616
205,-0.009245058144051077
206,0.004633212921488106
207,0.004611845222562971
208,-0.0123458358222992
209,0.0
210,0.0
211,0.030583423372080087
212,-0.019772507267864503
213,-0.013921338518608106
214,0.004662013105811269
215,-0.0015515906914187472
216,0.0
217,0.0
218,0.0031007776782481233
219,-0.0031007776782481233
220,0.006191970247920953
221,0.006153865574378248
222,-0.0030721990369702024
223,0.0
224,0.0
225,0.012232568435634583
226,0.007570058860545181
227,-0.02288429383358781
228,-0.0015444018513741664
229,-0.004647568396546786
230,0.0
231,0.0
232,0.006191970247920953
233,-0.009302392662313475
234,0.01238405919972152
235,0.009188426054406174
236,-0.0030534374868902425
237,0.0
238,0.0
239,0.004576667027411885
240,-0.00917437627604123
241,0.0
242,0.021277398447284934
243,-0.019742478729201318
244,0.0
245,0.0
246,0.0
247,0.013709277925033403
248,-0.007593050907597432
249,-0.004583659667657836
250,-0.004604766386748338
251,0.0
252,0.0
253,0.0
254,-0.004626068388782212
255,0.0
256,0.004626068388782212
257,0.007662872745569205
258,0.0
259,0.0
260,-0.016936509530898203
261,-0.006230549750636083
262,0.015504186535965081
263,0.004604766386748338
264,-0.007686432924156383
265,0.0
266,0.0
267,0.009216655104923976
268,-0.006134988567515931
269,0.0
270,0.013751171612824464
271,0.00151630051796392
272,0.0
273,0.0
