Date,NFCI,ANFCI,Risk (NFCI),Credit (NFCI),Leverage (NFCI),Nonfinancial_Leverage (NFCI)
3/1/2000,-0.190094833,-0.016536727,-0.228651056,0.029701729,1.327491262,0.616151213
3/2/2000,-0.190094833,-0.016536727,-0.228651056,0.029701729,1.327491262,0.616151213
3/3/2000,-0.174114289,0.00831379,-0.209567364,0.038775106,1.29179717,0.625791534
3/4/2000,-0.174114289,0.00831379,-0.209567364,0.038775106,1.29179717,0.625791534
3/5/2000,-0.174114289,0.00831379,-0.209567364,0.038775106,1.29179717,0.625791534
3/6/2000,-0.174114289,0.00831379,-0.209567364,0.038775106,1.29179717,0.625791534
3/7/2000,-0.174114289,0.00831379,-0.209567364,0.038775106,1.29179717,0.625791534
3/8/2000,-0.174114289,0.00831379,-0.209567364,0.038775106,1.29179717,0.625791534
3/9/2000,-0.174114289,0.00831379,-0.209567364,0.038775106,1.29179717,0.625791534
3/10/2000,-0.154148222,0.046376596,-0.185088524,0.050610852,1.245705051,0.636072084
3/11/2000,-0.154148222,0.046376596,-0.185088524,0.050610852,1.245705051,0.636072084
3/12/2000,-0.154148222,0.046376596,-0.185088524,0.050610852,1.245705051,0.636072084
3/13/2000,-0.154148222,0.046376596,-0.185088524,0.050610852,1.245705051,0.636072084
3/14/2000,-0.154148222,0.046376596,-0.185088524,0.050610852,1.245705051,0.636072084
3/15/2000,-0.154148222,0.046376596,-0.185088524,0.050610852,1.245705051,0.636072084
3/16/2000,-0.154148222,0.046376596,-0.185088524,0.050610852,1.245705051,0.636072084
3/17/2000,-0.132036155,0.089873431,-0.15612134,0.064105558,1.189394378,0.646876588
3/18/2000,-0.132036155,0.089873431,-0.15612134,0.064105558,1.189394378,0.646876588
3/19/2000,-0.132036155,0.089873431,-0.15612134,0.064105558,1.189394378,0.646876588
3/20/2000,-0.132036155,0.089873431,-0.15612134,0.064105558,1.189394378,0.646876588
3/21/2000,-0.132036155,0.089873431,-0.15612134,0.064105558,1.189394378,0.646876588
3/22/2000,-0.132036155,0.089873431,-0.15612134,0.064105558,1.189394378,0.646876588
3/23/2000,-0.132036155,0.089873431,-0.15612134,0.064105558,1.189394378,0.646876588
3/24/2000,-0.109869157,0.12762716,-0.126030844,0.078201987,1.126113656,0.658061858
3/25/2000,-0.109869157,0.12762716,-0.126030844,0.078201987,1.126113656,0.658061858
3/26/2000,-0.109869157,0.12762716,-0.126030844,0.078201987,1.126113656,0.658061858
3/27/2000,-0.109869157,0.12762716,-0.126030844,0.078201987,1.126113656,0.658061858
3/28/2000,-0.109869157,0.12762716,-0.126030844,0.078201987,1.126113656,0.658061858
3/29/2000,-0.109869157,0.12762716,-0.126030844,0.078201987,1.126113656,0.658061858
3/30/2000,-0.109869157,0.12762716,-0.126030844,0.078201987,1.126113656,0.658061858
3/31/2000,-0.089029741,0.151369402,-0.095975307,0.091765646,1.057623843,0.669464908
4/1/2000,-0.089029741,0.151369402,-0.095975307,0.091765646,1.057623843,0.669464908
4/2/2000,-0.089029741,0.151369402,-0.095975307,0.091765646,1.057623843,0.669464908
4/3/2000,-0.089029741,0.151369402,-0.095975307,0.091765646,1.057623843,0.669464908
4/4/2000,-0.089029741,0.151369402,-0.095975307,0.091765646,1.057623843,0.669464908
4/5/2000,-0.089029741,0.151369402,-0.095975307,0.091765646,1.057623843,0.669464908
4/6/2000,-0.089029741,0.151369402,-0.095975307,0.091765646,1.057623843,0.669464908
4/7/2000,-0.07327105,0.155100243,-0.070141451,0.104286114,0.986016999,0.680916925
4/8/2000,-0.07327105,0.155100243,-0.070141451,0.104286114,0.986016999,0.680916925
4/9/2000,-0.07327105,0.155100243,-0.070141451,0.104286114,0.986016999,0.680916925
4/10/2000,-0.07327105,0.155100243,-0.070141451,0.104286114,0.986016999,0.680916925
4/11/2000,-0.07327105,0.155100243,-0.070141451,0.104286114,0.986016999,0.680916925
4/12/2000,-0.07327105,0.155100243,-0.070141451,0.104286114,0.986016999,0.680916925
4/13/2000,-0.07327105,0.155100243,-0.070141451,0.104286114,0.986016999,0.680916925
4/14/2000,-0.058956798,0.15493851,-0.044783563,0.115692963,0.912142354,0.692219417
4/15/2000,-0.058956798,0.15493851,-0.044783563,0.115692963,0.912142354,0.692219417
4/16/2000,-0.058956798,0.15493851,-0.044783563,0.115692963,0.912142354,0.692219417
4/17/2000,-0.058956798,0.15493851,-0.044783563,0.115692963,0.912142354,0.692219417
4/18/2000,-0.058956798,0.15493851,-0.044783563,0.115692963,0.912142354,0.692219417
4/19/2000,-0.058956798,0.15493851,-0.044783563,0.115692963,0.912142354,0.692219417
4/20/2000,-0.058956798,0.15493851,-0.044783563,0.115692963,0.912142354,0.692219417
4/21/2000,-0.046002479,0.159458379,-0.020462792,0.125904442,0.83840636,0.703206564
4/22/2000,-0.046002479,0.159458379,-0.020462792,0.125904442,0.83840636,0.703206564
4/23/2000,-0.046002479,0.159458379,-0.020462792,0.125904442,0.83840636,0.703206564
4/24/2000,-0.046002479,0.159458379,-0.020462792,0.125904442,0.83840636,0.703206564
4/25/2000,-0.046002479,0.159458379,-0.020462792,0.125904442,0.83840636,0.703206564
